,code,ter,tc,tic
148,PSFB5,1.67,0.00,
149,SITB1,0.34,0.00,
150,SIATA,0.53,0.00,
151,AGDC,1.57,0.08,
152,AGDA,1.97,0.08,
153,AEPA1,1.05,0.78,
154,SBLB1,0.01,0.00,
155,SGEB1,2.69,0.00,
156,SIAB1,0.91,0.00,
157,SMEB3,0.05,0.00,
158,SMEYF,0.45,0.00,
159,SMDB1,1.32,0.00,
160,SMFB1,0.69,0.00,
161,CGEA1,0.89,0.25,
162,AGEB3,0.16,0.42,
163,AGEB2,0.43,0.42,
164,AGEB1,0.60,0.42,
165,AGEA1,0.84,0.42,
166,AEPB3,0.15,0.78,
167,AEPB2,0.60,0.78,
168,AEPB1,0.82,0.78,
169,STMSB1,1.19,0.03,
170,STMSA,2.10,0.03,
171,SMFP2,0.34,0.05,
172,SMEY1,0.62,0.00,
173,SMDB2,0.83,0.00,
174,WABA,0.53,0.12,
175,MSSFF,1.74,0.04,
176,CGEPC,1.56,0.25,
177,CEGB3,0.20,0.25,
178,CEGB1,1.19,0.25,
179,MAIPA,2.04,0.31,
180,MADB1,1.37,0.15,
181,MAICA,1.82,0.15,
182,MAIB1,1.49,0.23,
183,MAIBA,1.94,0.23,
184,CPSCA,1.25,0.22,
185,CPGCA,1.53,0.23,
186,CHSA,0.49,0.42,
187,MSGFF,2.22,0.06,
188,MSBFF,1.80,0.06,
189,SCOIB,1.29,0.00,
190,SCOIA,1.70,0.00,
191,MUPB1,1.59,0.31,
192,RBGFA,1.63,0.00,
193,CABFA,0.49,0.00,
194,BBWFA,3.22,0.21,
195,ABGEA,2.70,0.05,
196,ABWOF,2.08,0.21,
197,ABSFA,1.66,0.12,
198,ABMFA,1.56,0.20,
199,SBIMB5,0.81,0.00,
200,SBIMB4,0.01,0.00,
201,SBIMB3,0.18,0.00,
202,SBIMB2,0.24,0.00,
203,SIMB14,0.45,0.00,
204,SIB13,0.58,0.00,
205,SBIMB1,0.29,0.00,
206,SBB12,0.93,0.00,
207,SCMB8,0.12,0.00,
208,SMPB,1.27,0.57,
209,SCB3,0.30,0.00,
210,SCB2,0.35,0.00,
211,SCMB13,0.58,0.00,
212,SCB1,0.47,0.00,
213,SMCB3,0.48,0.53,
214,SAEF,1.87,0.53,
215,SADB3,1.25,0.15,
216,SADF,1.56,0.15,
217,SABB3,1.08,0.57,
218,SAOF,1.43,0.57,
219,SCMB7,0.08,0.00,
220,SBB6,0.00,,
221,SCB5,0.18,0.00,
222,SCB4,0.24,0.00,
223,SPSC,2.96,0.16,
224,SPSA,1.80,0.16,
225,SLSC,0.00,,
226,SLSA,1.95,0.33,
227,SBSA,1.87,0.24,
228,SITCC,2.71,0.50,
229,STD2,1.75,0.06,
230,LII3,1.16,0.06,
231,SAF1,0.90,0.13,
232,STM3,1.28,0.00,
233,STM2,1.96,0.00,
234,STMB13,0.65,0.00,
235,SIMB9,0.13,0.00,
236,SBIMB7,0.46,0.00,
237,SBIMB6,0.35,0.00,
238,SBSC,2.56,0.24,
239,STFB6,0.73,0.00,
240,STAB5,2.38,0.06,
241,SAI4,2.04,0.06,
242,SAI2,0.14,0.00,
243,SAI1,1.02,0.06,
244,SAF4,2.42,0.13,
245,SAEB3,3.99,0.00,
246,SAEB1,4.81,0.00,
247,SMB4,1.45,0.00,
248,STMB14,0.88,0.00,
249,STCB1,0.02,0.50,
250,SNBN,0.12,0.02,
251,SMCFB2,2.51,0.05,
252,SMCFB1,0.97,0.05,
253,SMAB2,2.63,0.21,
254,SMAB1,0.80,0.21,
255,SIPCB,0.34,0.09,
256,SIPB7,1.01,0.09,
257,SIPB6,0.76,0.09,
258,SAIB4,0.80,0.09,
259,STCB5,0.82,0.50,
260,STTB4,1.07,0.50,
261,STCB2,1.00,0.50,
262,SDIT,0.24,0.02,
263,SMFB,0.01,0.02,
264,SMMB2,2.60,0.14,
265,SMMB1,0.79,0.14,
266,SMMAB1,0.78,0.18,
267,SMCB2,2.75,0.10,
268,SMCB1,0.99,0.10,
269,SMMAB2,2.59,0.18,
270,SIBCC,3.48,0.01,
271,SGBB2,1.77,0.01,
272,SIGB1,0.30,0.01,
273,SIGA1,2.05,0.01,
274,SAFB3,0.02,0.02,
275,SIACC,2.41,0.01,
276,SIAB4,0.70,0.01,
277,SAIFB3,0.89,0.01,
278,SAIFB2,0.47,0.01,
279,SLB2,0.11,0.09,
280,SAIL,2.51,0.09,
281,BRDA,3.62,0.12,
282,SVIF,0.07,0.19,
283,SAVB3,1.17,0.30,
284,SAVFB2,0.72,0.30,
285,SAVB,2.42,0.30,
286,SASB3,0.73,0.34,
287,SASB2,1.07,0.34,
288,SASC,2.46,0.34,
289,SABB2,0.25,0.02,
290,SBFCB,0.36,0.16,
291,SBB4,0.72,0.16,
292,SBCB3,1.09,0.16,
293,SABB,2.52,0.16,
294,SPTB,1.36,0.16,
295,SAIFB1,0.01,0.01,
296,MSEF,1.87,0.12,
297,SPFB2,0.01,0.07,
298,SAPFB1,0.70,0.07,
299,EIGFB,3.07,0.04,
300,EIGFA,3.07,0.04,
301,WMICC,3.35,0.29,
302,WMICB,3.66,0.24,
303,WMICA,3.79,0.24,
304,SMGMC,2.23,0.07,
305,SMFGC,2.26,0.11,
306,SMFIA,0.81,0.00,
307,MMPB,2.16,0.06,
308,MEBA1,1.59,0.06,
309,GGECB,1.01,0.15,
310,GGECA,2.08,,
311,SYVCA,1.83,0.55,
312,SYABA,0.42,0.10,
313,SYECB,0.75,,
314,SYECA,1.23,0.22,
315,SAECA,1.13,0.77,
316,ISFLC,1.70,0.00,
317,ISFCB,1.46,0.00,
318,ISFAC,1.87,0.00,
319,SMRB2,0.86,0.06,
320,SMMDFA,1.89,0.00,
321,SMMFB3,0.37,0.04,
322,SSBSA,0.45,0.10,
323,SYABB,0.15,,
324,CMFCB,0.11,0.46,
325,CASCB,0.75,0.25,
326,CIPCB,0.78,0.33,
327,CELCB,0.90,0.51,
328,CAFCB,0.50,0.65,
329,BIPFA,1.10,0.01,
330,BIPFB,0.16,0.01,
331,SAIB8,1.40,0.01,
332,ASACD,0.65,0.06,
333,ASACA,1.42,0.06,
334,AAFCD,1.35,0.31,
335,AAFCA,1.92,0.31,
336,AAECD,1.17,0.43,
337,ASECA,1.74,0.43,
338,CAYB2,0.67,0.00,
339,DBWFFA,2.31,0.43,
340,ABICC,1.35,0.20,
341,APECD,0.80,0.53,
342,ALCCC,0.87,0.67,
343,ASECD,0.85,0.06,
344,AMFCD,0.63,0.26,
345,ABBCD,0.51,0.23,
346,ABACD,0.56,0.01,
347,AWPCD,1.55,0.16,
348,AWPCA,2.10,0.16,
349,LREC,1.36,0.15,
350,SMMA,3.08,0.12,
351,STMMB1,1.60,0.12,
352,SFB1,1.16,0.35,
353,SEFF,1.81,0.01,
354,SIP3,0.01,0.16,
355,SIBFB4,2.44,0.05,
356,STIBB3,0.59,0.05,
357,STIBB1,1.19,0.05,
358,LIFD,0.38,0.00,
359,SMT1,0.60,0.30,
360,SMFF,2.85,0.35,
361,SMF2,0.59,0.35,
362,SPI4,2.84,0.00,
363,SIPB,1.36,0.00,
364,SICFB1,2.01,0.00,
365,SBI4,3.59,0.00,
366,SIBFB1,1.87,0.00,
367,SIB2,0.13,0.00,
368,SIFB,1.03,0.16,
369,SEI4,3.67,0.01,
370,SIEB1,2.44,0.01,
371,SCI4,3.78,0.00,
372,STIB5,0.10,0.00,
373,IFB4,1.85,0.00,
374,SIB1,0.00,,
375,FIB4,2.03,0.00,
376,SEFB7,2.86,0.00,
377,STEF,3.90,0.00,
378,STEFB1,2.16,0.00,
379,SFB2,0.55,0.00,
380,SBB1,1.14,0.01,
381,SCF4,2.12,0.03,
382,STCPB5,0.86,0.00,
383,SCP3,0.35,0.00,
384,STGB6,0.86,0.32,
385,SCGF,2.40,0.32,
386,SBFR,0.85,0.00,
387,BFB4,2.09,0.00,
388,SBF1,0.46,0.00,
389,SDB5,0.86,0.01,
390,SFF4,2.38,0.01,
391,STFF,0.01,0.01,
392,SCBB,0.59,0.00,
393,SCF1,0.84,0.03,
394,SBCB4,3.02,0.06,
395,SBCB2,0.95,0.06,
396,SBCB1,1.23,0.06,
397,SBCFA,1.80,0.06,
398,STD3,2.35,0.06,
399,AMWFA,1.29,0.02,
400,AMFOA,3.01,0.42,
401,AMEFB,0.92,0.68,
402,AMEFA,1.23,0.68,
403,KSPB5,3.13,0.02,
404,KSPB4,3.25,0.02,
405,KSPB1,1.58,0.02,
406,KSPFA,1.69,0.00,
407,KSGB5,3.21,0.00,
408,KSGB4,3.37,0.00,
409,PBIB2,1.23,0.06,
410,PBIB1,1.52,0.06,
411,POBB1,1.78,0.07,
412,AMWFB,0.68,0.02,
413,LFPB3,0.04,0.47,
414,LFPA2,0.61,0.47,
415,LFPA1,1.75,0.47,
416,FIFB2,1.62,0.00,
417,FIFFU,1.74,0.00,
418,FFCB2,1.09,0.00,
419,AMRC1,0.84,0.06,
420,AMFC1,1.02,0.26,
421,AAFC1,0.97,0.01,
422,ABFC1,0.97,0.23,
423,ASEC1,1.14,0.06,
424,AMBC1,0.57,0.00,
425,AMRRD,0.72,0.13,
426,AMRRC,0.81,0.12,
427,AFMCA,2.14,0.05,
428,FOFLF,1.23,0.00,
429,SEFCA,1.22,0.93,
430,ADUF1,0.56,0.07,
431,ARRF1,0.38,0.01,
432,APEF1,0.55,0.02,
433,ADEF1,0.33,0.15,
434,ADAF1,0.38,0.07,
435,STPROP,0.37,0.03,
436,FBFB3,0.89,0.18,
437,FECB2,0.71,0.18,
438,FOEFU,0.88,0.19,
439,AHGF1,0.59,0.24,
440,SPBB3,1.27,0.21,
441,SPBB1,0.13,0.21,
442,PMMB2,0.07,0.02,
443,PMMB1,0.07,0.01,
444,PMMA1,0.16,0.01,
445,FBCB3,1.05,0.07,
446,FBCB2,1.14,0.07,
447,FOBFU,1.31,0.07,
448,FOBCB,0.43,0.07,
449,ABFIA,1.16,0.07,
450,VAGFC,2.14,0.61,
451,TREB1,1.26,0.55,
452,TIFCC,1.08,0.56,
453,RCICC,1.52,0.57,
454,PIWCC,2.09,0.53,
455,GIOFC,1.24,0.08,
456,EIMFC,1.87,1.71,
457,LFPB4,1.18,0.47,
458,RESC1,1.08,0.08,
459,RESTC,0.74,0.08,
460,REST,1.22,0.08,
461,TIECC,1.45,0.30,
462,MVIPC,1.25,0.03,
463,MHCFC,0.91,0.21,
464,MIDCC,0.89,0.28,
465,MIDCA,1.25,0.39,
466,MPWB6,1.29,0.40,
467,MGMB6,0.97,0.15,
468,RESTT,1.07,0.08,
469,RESTZ,0.16,0.08,
470,PFCB,1.30,0.10,
471,WMEFC,1.09,0.35,
472,WMEFB,1.35,0.34,
473,WMEFA,2.29,0.35,
474,CGEFP,1.38,0.22,
475,CJFCP,0.31,0.00,
476,ABMFB,1.43,0.52,
477,ABMF,1.97,0.50,
478,PFMB,1.33,0.15,
479,PFMA,1.39,0.13,
480,PFCA,1.36,0.10,
481,CGSB3,1.55,0.22,
482,CGEFA,1.84,0.22,
483,CPFCP,1.15,0.05,
484,CBFCP,0.43,0.00,
485,CMFFB,0.49,0.44,
486,ABEFB,0.72,0.77,
487,ABEFA,1.21,0.88,
488,MSCBB,2.04,0.04,
489,MSBA,2.10,0.03,
490,MSGB,2.07,0.05,
491,MSGA,2.13,0.04,
492,MSSB,1.66,0.09,
493,MSSA,1.72,0.11,
494,PFBB,1.51,0.26,
495,PFBA,1.57,0.26,
496,CPEB2,0.05,0.20,
497,CSAPE,1.19,0.20,
498,MWDC,1.80,0.14,
499,MPFC,1.55,0.13,
500,MHIC,1.15,0.01,
501,SMF4,2.26,0.07,
502,SMF1,0.86,0.07,
503,SMC4,2.20,0.06,
504,SMC1,0.86,0.06,
505,SMA4,2.40,0.12,
506,SMA1,0.93,0.12,
507,SBMF,1.24,0.09,
508,SBIA,1.32,0.10,
509,SRB3,0.30,0.06,
510,SMB1,1.43,0.06,
511,SME4,2.43,0.07,
512,STI3,0.13,0.00,
513,STI1,0.96,0.00,
514,SMM4,3.17,0.04,
515,MFB5,2.75,0.05,
516,SFPF,0.07,0.05,
517,SMCB,1.16,0.05,
518,BKSMF,2.21,0.18,
519,NIGCC,0.65,0.05,
520,NICCB,0.47,0.05,
521,SADI,0.99,0.00,
522,STB4,2.87,0.06,
523,SML4,2.19,0.04,
524,SMI4,2.03,0.00,
525,STI2,0.79,0.00,
526,SEMM,0.04,0.15,
527,LREB,0.88,0.15,
528,CSAIF,0.59,0.01,
529,TRPB1,1.57,0.75,
530,TNICB,1.58,0.75,
531,TNICA,2.15,0.75,
532,SADCA3,1.27,0.00,
533,SADCA2,1.28,0.00,
534,SADCA4,0.42,0.00,
535,RCGFC,0.02,0.15,
536,RCECD,1.87,0.30,
537,RCFFB,1.30,0.30,
538,PRBB3,0.20,0.03,
539,PRBA2,0.55,0.03,
540,CGRF,2.11,0.01,
541,PAPD,1.22,0.08,
542,PAID,0.88,0.04,
543,ASEFA,0.60,0.32,
544,RAEF,2.94,0.12,
545,RCGFA,0.01,0.15,
546,RCFFC,0.16,0.30,
547,RCGFD,0.02,0.15,
548,SGB1,0.02,0.19,
549,SBTB,0.74,0.00,
550,SNAT,0.06,0.00,
551,SABB4,1.44,0.76,
552,SABO,0.98,0.76,
553,RMMB5,0.90,0.00,
554,RMI3,1.58,0.00,
555,RMBO,2.21,0.00,
556,PPQF,1.08,0.08,
557,RIEB2,1.18,0.00,
558,SFF1,0.08,0.35,
559,SMIA,0.02,0.00,
560,SIBF,1.76,0.21,
561,SIBO,2.32,0.21,
562,SANO,0.02,0.27,
563,SAIB2,0.71,0.18,
564,RFB2,1.79,0.06,
565,RBMB7,1.01,0.00,
566,RMIB6,0.44,0.00,
567,RMI2,1.24,0.00,
568,SGEO,1.30,0.78,
569,SNMG,0.01,0.78,
570,SABT,0.56,0.00,
571,SMIB,0.51,0.00,
572,SBB2,1.42,0.76,
573,SNMO,0.57,0.76,
574,SIF1,2.41,0.18,
575,SGFI,0.03,0.18,
576,SGEB3,1.59,0.13,
577,SEGB,3.43,0.13,
578,SMPB4,1.01,0.10,
579,SPR1,0.67,0.10,
580,SRB2,1.13,0.10,
581,SGIB,0.88,0.18,
582,SGB2,0.03,0.18,
583,SGTA,1.99,0.13,
584,SGIT,0.94,0.67,
585,GIB2,0.03,0.67,
586,SAGI,0.39,0.67,
587,SAGEB5,0.68,0.29,
588,SRB1,0.09,0.10,
589,SPRB4,1.04,0.31,
590,SRTB,1.11,0.31,
591,SMPA,0.31,0.31,
592,SMPB5,0.59,0.57,
593,SMPR,0.31,0.58,
594,SMIP,0.03,0.57,
595,SPRO,0.83,0.70,
596,SPB2,0.57,0.70,
597,SNMP,0.03,0.70,
598,CSEFB3,0.98,0.28,
599,ACBFB,1.67,0.15,
600,ACBA,1.73,0.15,
601,ACMFB,1.67,0.13,
602,ACMA,1.73,0.13,
603,ACCB,1.68,0.07,
604,AMCFA,1.73,0.07,
605,MSDB,1.59,0.12,
606,MMCB,1.45,0.06,
607,MPAB,1.44,0.11,
608,AABCFC,1.08,0.07,
609,AABGFC,1.16,0.13,
610,CSEFP,0.81,0.28,
611,CSEFA,1.26,0.28,
612,AABBFC,1.09,0.09,
613,PMMB,0.19,0.13,
614,DTR45B,1.22,0.34,
615,DTR45,1.96,0.34,
616,SMSB9,1.91,0.16,
617,SMBA2,1.68,0.57,
618,EGEA,1.33,0.30,
619,SAAB9,1.85,0.31,
620,SMAA2,1.48,0.31,
621,SIEC1,2.85,0.53,
622,SMDC1,2.15,0.15,
623,SMEA2,2.01,0.53,
624,SPSB4,1.75,0.16,
625,SMLB9,2.07,0.33,
626,SMPA2,1.62,0.16,
627,SMSB4,1.90,0.33,
628,ABMFS,1.40,0.16,
629,ABMFF,1.40,0.10,
630,SMDA2,1.83,0.15,
631,SMBC1,2.60,0.57,
632,SASB9,1.99,0.24,
633,SMTA2,1.78,0.33,
634,SASB4,1.82,0.24,
635,SAFB9,1.93,0.28,
636,SASA2,1.70,0.24,
637,SACB9,1.78,0.08,
638,OCBSF,1.64,0.02,
639,OCINFF,0.85,0.00,
640,OBSFF,1.85,0.02,
641,PRICB,1.09,0.00,
642,PMOF,0.46,0.00,
643,GDIC2,0.08,0.00,
644,ABMF4,1.36,0.08,
645,ABMFT,1.30,0.06,
646,SGFFB1,2.03,0.46,
647,SGFFA1,2.31,0.46,
648,KSGB1,1.55,0.00,
649,27FPC,2.90,0.12,
650,27PA1,1.19,0.12,
651,MMDC,3.27,0.04,
652,MMDB,2.12,0.04,
653,MEMA1,1.54,0.04,
654,MHYC,2.80,0.05,
655,MHYB,1.65,0.05,
656,MEHA1,1.09,0.05,
657,MMBC,3.30,0.06,
658,KSGFA,1.64,0.00,
659,KSFB5,3.23,0.18,
660,KSFB4,3.34,0.18,
661,KSFB1,1.68,0.18,
662,KSFFA,1.79,0.18,
663,KSBB5,3.19,0.04,
664,KSBB4,3.31,0.04,
665,KSBB1,1.64,0.04,
666,27FBC,2.94,0.21,
667,27BA1,1.24,0.21,
668,KSBFA,1.72,0.04,
669,SMMB8,0.29,0.02,
670,SEIB2,0.01,0.00,
671,SPBB2,0.01,0.00,
672,NEIFR,0.88,0.03,
673,SPRB6,1.45,0.31,
674,AIBC1,1.00,0.01,
675,IGEC,1.44,0.33,
676,IGEB,1.16,0.33,
677,IGEA,2.29,0.33,
678,4DAS1,2.52,0.30,
679,4DCS1,2.28,0.12,
680,EFPCC,2.66,0.13,
681,MMCB5,1.36,0.35,
682,MOPB9,0.99,0.06,
683,MIIB7,0.66,0.02,
684,MIEM1,1.18,0.00,
685,MICM1,0.98,0.00,
686,MIBM1,1.51,0.00,
687,MFEB3,1.77,0.19,
688,4DMS1,2.29,0.29,
689,MIPB8,0.93,0.03,
690,MFFB4,1.76,0.09,
691,MFSB3,1.85,0.14,
692,MEB12,1.10,0.13,
693,MFTB4,1.61,0.03,
694,MOCB5,1.04,0.13,
695,MDYB7,0.74,0.01,
696,MOB11,0.69,0.07,
697,MOEB8,1.16,0.06,
698,CGCB4,1.42,0.14,
699,CCPB5,1.24,0.07,
700,CBDB4,1.33,0.06,
701,VALI,1.76,0.28,
702,WWFH,1.57,0.08,
703,VALH,1.96,0.28,
704,PPFH,0.98,0.04,
705,CGEB1,3.20,0.23,
706,AFEA2,2.36,,
707,AFEA1,2.93,,
708,CGMB4,1.23,0.20,
709,CSIB4,0.53,0.01,
710,CGEB3,1.49,0.23,
711,CBFB4,1.17,0.12,
712,CTTB4,0.47,0.27,
713,SMFA2,1.70,0.28,
714,SCCA2,0.64,0.08,
715,PHIFD,0.42,0.02,
716,PHIFB,0.02,0.02,
717,PHIFA,0.64,0.02,
718,SYSCB,0.87,0.19,
719,SYCCB,0.82,0.16,
720,SAMB9,2.04,0.18,
721,SNMB9,1.72,0.20,
722,SMCA2,1.31,0.18,
723,LPCB1,1.93,0.09,
724,SMGA2,1.31,0.20,
725,LPOB1,2.13,0.33,
726,MCEFB3,0.15,0.65,
727,SMMAC,3.34,0.31,
728,SYGCB,0.68,0.08,
729,LPGB1,2.69,0.06,
730,LYPB1,2.02,0.18,
731,MCEFB1,0.69,0.65,
732,MCEFA,0.97,0.65,
733,SMMAB,1.06,0.31,
734,SMMAF,1.41,0.31,
735,SMACC,3.21,0.20,
736,SMACB,0.93,0.20,
737,SMACA,1.29,0.20,
738,SIMB4,2.65,0.21,
739,SMMB4,2.60,0.14,
740,AFEB3,1.23,,
741,SMMFC,3.02,0.28,
742,SMMFB,1.14,0.28,
743,SMMMA,1.48,0.28,
744,CSEW40,0.31,0.00,
745,BGFFC,1.49,0.12,
746,BBSFE,1.25,0.34,
747,BBSFD,1.09,0.33,
748,BBIFE,0.03,0.07,
749,BBFFD,0.39,0.04,
750,OGEB3,1.60,,
751,OGEFA,2.76,0.29,
752,MOCB1,1.67,0.03,
753,MOAB1,1.91,0.14,
754,NISA,1.50,0.03,
755,BCBFB,0.99,0.21,
756,BCBFA,1.18,0.16,
757,ABEF,2.97,0.33,
758,PBGE,0.80,0.03,
759,EBCC,2.05,0.18,
760,CBRFC,1.34,0.02,
761,CBCFC,1.89,0.09,
762,CBBFC,1.95,0.18,
763,FIFB3,0.44,0.41,
764,MOBB1,1.81,0.09,
765,BBCFE,0.97,,
766,ISPCI,0.42,0.01,
767,IMBF,1.82,0.06,
768,FEGB2,1.33,0.00,
769,FGECR,1.61,0.00,
770,BCSE,1.63,0.80,
771,BCSEC,2.10,0.67,
772,PBCE,1.01,0.55,
773,FIFA2,2.26,0.41,
774,FIFA1,1.69,0.41,
775,BBBB1,1.34,0.21,
776,BBBFE,1.60,0.20,
777,BCBFD,2.24,0.19,
778,FEGB1,1.44,0.00,
779,AMFB1,0.51,0.21,
780,ASMFFA,0.66,0.21,
781,AGFB1,0.44,0.11,
782,MSTB,2.00,0.08,
783,MSTA,1.53,0.08,
784,MPRD,2.48,0.22,
785,BAEFD,1.50,0.23,
786,MPRU,2.02,0.22,
787,PPSCB,0.52,0.20,
788,PPSCA,1.83,0.20,
789,PMTA1,1.28,0.67,
790,FVSB3,0.05,0.13,
791,FVSB2,1.04,0.13,
792,FASB1,1.43,0.13,
793,PIPCX,1.30,0.10,
794,PEICD,0.66,0.07,
795,BCEFB,,,
796,CBPA2,2.16,0.37,
797,CBPA1,1.76,0.37,
798,ABFA,0.72,0.00,
799,MBFCC,3.50,0.35,
800,FMMCC,0.50,0.00,
801,FGEFC,1.20,0.22,
802,FCFCB,1.39,0.00,
803,FAFC1,0.71,0.00,
804,FAFCB,1.66,0.00,
805,RECBFB,2.02,0.54,
806,MBFCB,2.98,0.35,
807,MBFCA,3.55,0.35,
808,FGECD,0.57,0.22,
809,FGEC1,0.68,0.22,
810,FFFC1,0.75,0.00,
811,FFFCB,1.52,0.00,
812,FCFC1,0.64,0.00,
813,FBFC1,0.72,0.00,
814,FBFCB,1.56,0.00,
815,PRER1,2.07,0.50,
816,PRECR,2.47,0.50,
817,PRBCR,1.92,0.14,
818,PRBCA,2.15,0.14,
819,FMMC1,0.41,0.00,
820,FMMCD,0.27,0.00,
821,FIPCD,0.55,0.00,
822,FIPC1,0.67,0.00,
823,BPMFA,3.13,0.45,
824,AABSFC,1.03,0.04,
825,PGFCA,2.51,0.11,
826,PFICB,0.64,0.00,
827,PEFCA,2.71,0.50,
828,PRBR1,1.52,0.14,
829,ISPAT,0.54,0.03,
830,ISPA1,0.54,0.03,
831,PBIFB2,0.69,0.04,
832,PTBA2,0.80,0.04,
833,PTSCB,0.35,0.04,
834,PPBCA,0.98,0.04,
835,ISCCT,0.52,0.03,
836,ISCA1,0.54,0.03,
837,ISCUCA,0.44,0.03,
838,ISAUCA,0.44,0.03,
839,AWFFB,2.07,3.04,
840,ABIFA,7.76,0.00,
841,AGSX,,,
842,AGBX,,,
